Date,Open,High,Low,Close,Volume
1985-04-22,0.0842578,0.0842578,0.0806928,0.0806928,122169779
1985-04-23,0.082775,0.0830794,0.082775,0.082775,140868674
1985-04-24,0.082775,0.0842578,0.0821661,0.0821661,94001391
1985-04-25,0.0821661,0.082775,0.0821661,0.0821661,104351128
1985-04-26,0.0821661,0.0845623,0.0818714,0.0818714,142549218
1985-04-29,0.0818714,0.0821661,0.078866,0.078866,74075447
1985-04-30,0.0794751,0.0800839,0.0794751,0.0794751,112806973
1985-05-01,0.0794751,0.0800839,0.0779721,0.0779721,68287037
1985-05-02,0.0770687,0.0770687,0.0719614,0.0719614,392703826
1985-05-03,0.0719614,0.0752715,0.0719614,0.0749963,188296160
1985-05-06,0.0749963,0.0755856,0.0737884,0.0737884,66846614
1985-05-07,0.0749963,0.0749963,0.0749963,0.0749963,128144946
